2018-12-23 00:05:56.229 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - No identity field found for class of type: com.zfm.feisbk.service.impl.TestServiceImpl when creating persistent property for field: private org.slf4j.Logger com.zfm.feisbk.service.impl.TestServiceImpl.logger
2018-12-23 00:05:56.231 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - Owning ClassInfo is null for field: null and propertyDescriptor: org.springframework.beans.GenericTypeAwarePropertyDescriptor[name=errorEnabled]
2018-12-23 00:05:56.231 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - Owning ClassInfo is null for field: null and propertyDescriptor: org.springframework.beans.GenericTypeAwarePropertyDescriptor[name=name]
2018-12-23 00:05:56.231 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - Owning ClassInfo is null for field: null and propertyDescriptor: org.springframework.beans.GenericTypeAwarePropertyDescriptor[name=infoEnabled]
2018-12-23 00:05:56.231 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - Owning ClassInfo is null for field: null and propertyDescriptor: org.springframework.beans.GenericTypeAwarePropertyDescriptor[name=debugEnabled]
2018-12-23 00:05:56.231 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - Owning ClassInfo is null for field: null and propertyDescriptor: org.springframework.beans.GenericTypeAwarePropertyDescriptor[name=traceEnabled]
2018-12-23 00:05:56.231 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - Owning ClassInfo is null for field: null and propertyDescriptor: org.springframework.beans.GenericTypeAwarePropertyDescriptor[name=warnEnabled]
2018-12-23 00:05:56.231 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - No identity field found for class of type: com.zfm.feisbk.service.impl.TestServiceImpl when creating persistent property for field: private com.zfm.feisbk.dao.UserDao com.zfm.feisbk.service.impl.TestServiceImpl.userDao
2018-12-23 00:05:56.231 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - No identity field found for class of type: com.zfm.feisbk.service.impl.TestServiceImpl when creating persistent property for field: null
2018-12-23 00:05:56.241 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - No identity field found for class of type: com.zfm.feisbk.CustomerException when creating persistent property for field: private java.lang.String com.zfm.feisbk.CustomerException.message
2018-12-23 00:05:56.241 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - No identity field found for class of type: com.zfm.feisbk.CustomerException when creating persistent property for field: private java.lang.String java.lang.Throwable.detailMessage
2018-12-23 00:05:56.241 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - No identity field found for class of type: com.zfm.feisbk.CustomerException when creating persistent property for field: private java.lang.Throwable java.lang.Throwable.cause
2018-12-23 00:05:56.241 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - No identity field found for class of type: com.zfm.feisbk.CustomerException when creating persistent property for field: private java.lang.StackTraceElement[] java.lang.Throwable.stackTrace
2018-12-23 00:05:56.241 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - No identity field found for class of type: com.zfm.feisbk.CustomerException when creating persistent property for field: private java.util.List java.lang.Throwable.suppressedExceptions
2018-12-23 00:05:56.241 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - No identity field found for class of type: com.zfm.feisbk.CustomerException when creating persistent property for field: null
2018-12-23 00:05:56.241 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - No identity field found for class of type: com.zfm.feisbk.CustomerException when creating persistent property for field: null
2018-12-23 00:05:56.269 WARN  org.springframework.data.neo4j.mapping.Neo4jPersistentProperty - No identity field found for class of type: com.zfm.feisbk.controller.MainController when creating persistent property for field: private org.slf4j.Logger com.zfm.feisbk.controller.MainController.logger
